test-environment-aeghhgwpe-pro02a	test-environment-aeghhgwpe-pro02a	24.35508728	1
test-environment-aeghhgwpe-pro02a	test-environment-aeghhgwpe-pro02b	23.50752258	2
test-environment-aeghhgwpe-pro02a	test-environment-aeghhgwpe-pro04b	22.18586731	3
test-environment-aeghhgwpe-pro02a	test-environment-aeghhgwpe-pro03a	22.13971901	4
test-environment-aeghhgwpe-pro02a	test-environment-aeghhgwpe-con02a	21.34751320	5
test-environment-aeghhgwpe-pro02a	test-environment-aeghhgwpe-con02b	21.24876404	6
test-environment-aeghhgwpe-pro02a	test-environment-aeghhgwpe-pro03b	20.99157906	7
test-environment-aeghhgwpe-pro02a	test-environment-aeghhgwpe-pro04a	20.85667038	8
test-environment-aeghhgwpe-pro02a	test-environment-aeghhgwpe-con01b	20.77093124	9
test-environment-aeghhgwpe-pro02a	training-environment-aelmmhbahr-con01b	18.70184326	10
test-environment-aeghhgwpe-pro02a	test-environment-aeghhgwpe-pro01b	18.30366135	11
test-environment-aeghhgwpe-pro02a	training-environment-ahwbsawhnbsf-pro04b	17.97085953	12
test-environment-aeghhgwpe-pro02a	test-environment-aeghhgwpe-con01a	17.79781723	13
test-environment-aeghhgwpe-pro02a	training-philosophy-lsfhwnhc-pro05a	17.60570908	14
test-environment-aeghhgwpe-pro02a	validation-environment-rahwbuaosae-pro02a	17.53326607	15
test-environment-aeghhgwpe-pro02a	test-environment-aeghhgwpe-pro01a	17.45472336	16
test-environment-aeghhgwpe-pro02a	validation-economy-ecegthwspc-pro04a	17.42255783	17
test-environment-aeghhgwpe-pro02a	training-philosophy-lsfhwnhc-pro05b	17.39889526	18
test-environment-aeghhgwpe-pro02a	validation-economy-ephwcnhsrsu-pro03a	16.62667847	19
test-environment-aeghhgwpe-pro02a	training-environment-ahwbsawhnbsf-pro02a	16.55676270	20
test-environment-aeghhgwpe-pro02a	training-environment-pwshwdotsc-con01a	16.21366501	21
test-environment-aeghhgwpe-pro02a	test-environment-aeghhgwpe-con03a	15.97664833	22
test-environment-aeghhgwpe-pro02a	training-environment-ogecephwgn-pro03a	15.76391220	23
test-environment-aeghhgwpe-pro02a	validation-economy-ephwcnhsrsu-pro03b	15.57601738	24
test-environment-aeghhgwpe-pro02a	training-environment-ahwbsawhnbsf-pro04a	15.51734638	25
